Binomial (reptile database),name in Tonini et al. 2016,mode of reproduction,brood size (# of hatchling or neonates),log female mass (g),log hatchling mass (g),RI (%),mean annual temperature (ºC),temperature seasonality
Cyclura cychlura,Cyclura_cychlura,Oviparous,6.4,3.21,1.51,13%,25.3,2187
Cyclura nubila,Cyclura_nubila,Oviparous,10.3,3.27,1.68,26%,24.83,1736.5
Cyclura pinguis,Cyclura_pinguis,Oviparous,12.3,3.61,1.61,12%,26.8,1171.5
Cyclura ricordi,Cyclura_ricordi,Oviparous,9.85,3.23,1.47,17%,22.26,1159.6
Cyclura rileyi,Cyclura_rileyi,Oviparous,3.75,2.72,1.23,12%,25.55,1946.4
Cynisca leucura,Cynisca_leucura,Oviparous,2.25,0.29,-1.16,8%,27.2,1857.5
Dalmatolacerta oxycephala,Dalmatolacerta_oxycephala,Oviparous,3.4,0.66,-0.50,23%,11,6743.9
Dalophia pistillum,Dalophia_pistillum,Oviparous,4,1.71,0.07,9%,21.43,3423.2
Darevskia armeniaca,Darevskia_armeniaca,Oviparous,4,0.79,-0.33,30%,7.39,7834.8
Darevskia brauneri,Darevskia_brauneri,Oviparous,4,0.69,-0.37,35%,8.1,7501.7
Darevskia caucasica,Darevskia_caucasica,Oviparous,4,0.61,-0.44,35%,7.83,8003.3
Darevskia chlorogaster,Darevskia_chlorogaster,Oviparous,6.5,0.68,-0.36,59%,13.43,7957.2
Darevskia daghestanica,Darevskia_daghestanica,Oviparous,3,0.46,-0.54,30%,4.49,8122.8
Darevskia dahli,Darevskia_dahli,Oviparous,3.5,0.66,-0.39,31%,6.51,8187.8
Darevskia derjugini,Darevskia_derjugini,Oviparous,6.2,0.59,-0.58,42%,7.81,7614.8
Darevskia parvula,Darevskia_parvula,Oviparous,3,0.52,-0.51,28%,7.83,7925
Darevskia pontica,Darevskia_pontica,Oviparous,5.05,0.57,-0.51,42%,9.97,8023.3
Darevskia portschinskii,Darevskia_portschinskii,Oviparous,3.5,0.52,-0.37,45%,9.65,8312.4
Darevskia praticola,Darevskia_praticola,Oviparous,4.855,0.50,-0.55,43%,8.66,8343.1
Darevskia raddei,Darevskia_raddei,Oviparous,4,0.71,-0.38,32%,8.31,8600.2
Darevskia rostombekowi,Darevskia_rostombekowi,Oviparous,2.5,0.51,-0.54,22%,8.59,8244.4
Darevskia rudis,Darevskia_rudis,Oviparous,5,0.87,-0.35,30%,8.05,7767.3
Darevskia saxicola,Darevskia_saxicola,Oviparous,4,0.66,-0.40,35%,5.55,7866
Darevskia unisexualis,Darevskia_unisexualis,Oviparous,5,0.69,-0.32,49%,6.31,8070.1
Darevskia valentini,Darevskia_valentini,Oviparous,5.2,0.81,-0.28,42%,7.3,8261.6
Dasia olivacea,Dasia_olivacea,Oviparous,6.165,1.14,-0.14,32%,25.3,507.7
Demansia psammophis,Demansia_psammophis,Oviparous,5.9,1.77,0.59,39%,19.88,524.4953
Demansia vestigiata,Demansia_vestigiata,Oviparous,7.5,2.15,1.05,59%,25.02976,278.0443
Dendrelaphis punctulatus,Dendrelaphis_punctulatus,Oviparous,8.2,2.10,0.75,36%,22.98,285.8342
Dendrophidion nuchale,Dendrophidion_nuchale,Oviparous,6,2.01,1.13,78%,23.50479,63.05953
Dendrophidion vinitor,Dendrophidion_vinitor,Oviparous,4,1.90,0.45,14%,24.18649,79.3931
Diadophis punctatus,Diadophis_punctatus,Oviparous,3.9,0.84,0.07,66%,12.3,788.0357
Dinarolacerta mosorensis,Dinarolacerta_mosorensis,Oviparous,4.75,0.79,-0.39,32%,10.11,6809.3
